CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
9-1-3-Ap-C,9-1-3,Ap,C,3,identify local maximum/minimums by using the First Derivative Test analytically/algebraically,,,9-1-4-Ap-C-danny-1.pg; drop-down; randomly generated parabola; depends on approach,9-1-3-Ap-C-fdt-jms-1.pg; dropdown and numeric; given f and f'; force using first derivative test by asking inc/dec; could be max/min,"9-1-3-Ap-C-fdt-abs-jms-1.pg; given function f with f'(x) = g'(x)(x-a)(x-b); find local max/min; given g continuous differentiable with one critical point and a local max/min; ten different cases occur; allows a=b, but avoids a=c and b=c",
9-2-1-R-C,9-2-1,R,C,1,state the definition of a critical point,,,9-2-1-R-C-crit-sing-def-jms.pg; identify difference between critical and singular points from their definitions; uses local maximum and local minimum as distractors,,,
9-1-4-Ap-C,9-1-4,Ap,C,3,identify local maximum/minimums by using the Second Derivative Test analytically/algebraically,,,9-1-4-Ap-C-danny-1.pg; drop-down; randomly generated parabola; depends on approach,"9-1-4-Ap-C-sdt-jms-1.pg; numeric; dropdown; given quartic and critical point find value of f'', determine sign of f'', indicate max/min and find value of function","9-1-4-Ap-C-sdt-jms-2.pg; numeric; given a cubic with an unknown parameter find the value of the constant that gives a local max/min; get two possible critical points, but only one gives desired max/min",9-1-4-Ap-C-sdt-jms-3.pg; dropdown; given table of values determine if max/min/neither or inconclusive; points may or may not be critical points
9-3-0-R-C,9-3-0,R,C,1,state the definition of a global maximum/minimum,,,9-3-0-R-C-glob-ext-def-jms.pg; dropdown; given inequality; choose global max/min and correct quantifier to make a correct definition,9-3-0-R-C-glob-ext-def-2-jms.pg; dropdown; given global max/min choose inequality and quantifier to complete definition; positions of f(x) and f(c) reversed  from other version and opposite to local questions,,
9-3-1-U-C,9-3-1,U,C,2,explain the difference between a local/global extrema,Jerrod is not sure how to make this in WeBWork ... other than the question with a graph that I've made for 9-3-2-U-C,,,,,
9-3-2-U-C,9-3-2,U,C,2,recognize the difference between a local/global extreme by interpreting the graph of a given function,,,9-3-2-U-C-pw-loc-glob-ext-1-jms.pg; dropdown; piecewise linear; ask about global max/min AND local max/min for two out of four interior singular points; does not ask about endpoints but they are included on the graph in the closed interval; combines code from 9-1-1-U-C-pw-loc-ext-1-jms.pg and 9-3-3-U-C-pw-glob-ext-1-jms.pg,9-3-2-U-C-loc-glob-ext-ms-cmm.pg; multiple select; evaluation of statements about global/local extrema on a closed interval of a graph of a function. SOLUTION NOT DONE YET,,
9-3-4-U-C,9-3-4,U,C,2,identify a global maxumum/minimum given the graph of the derivative of a function,,,9-3-4-U-C-pw-der-glob-ext-jms.pg; dropdown; piecewise graph with one critical point; determine extrema type of critical point (could be neither); determine if global max/min occur at a critical point or endpoint,,,
9-4-3-Ap-C,9-4-3,Ap,C,3,implement the Closed Interval Method to find the absolute extrema of a continuous function on a closed interval,,,9-4-3-Ap-C-closed-int-jms-1.pg; numeric; cubic; one critical point in the interval and one outside; find the location and value of the global extrema,9-4-3-Ap-C-closed-int-jms-2.pg; numeric; xe^x type function; one critical point; find location and value of absolute max/min; HARD,,
9-5-1-An-C,9-5-1,An,C,4,translate a given optimization problem into an abstract mathematical problem; in particular: use a constraint to eliminate secondary variables in order to produce a single-variable optimization problem,,,"9-5-1-An-C-box-cost-jms.pg; dropdown and function; cost of box with a lid; indicate ""minimize""; identify constraint; find cost as function of one variable",9-5-1-An-C-fence-set-up-jms.pg; dropdown and function; indicate minimize; find perimeter as function of one variable,9-5-1-An-C-open-box-set-up-jms.pg; dropdown and function; box with an open top by cutting squares from a square sheet; no constraint; maxmimize,9-5-1-An-C-cylinder-set-up-jms.pg; dropdown and function; indidicate minimize surface area; set up function to minimize the amount of material used for a cylinder of a fixed volume
9-5-2-Ap-C,9-5-2,Ap,C,5,solve optimization word problems,,,9-5-2-Ap-C-box-cost-full-jms.pg; numeric; solve a version of 9-5-1-An-C-box-cost-jms.pg with a reworded context; four versions with simplified numbers from an old 249 midterm exam 2021,9-5-2-Ap-C-fence-full-jms.pg; numeric; solvea version of the problem 9-5-1-An-C-fence-set-up-jms.pg so that critical values are integers; ask for the minimum amount of fencing (the minimum value instead of the dimensions),9-5-2-Ap-C-open-box-full-jms.pg; numeric; ask for maximum volume and the critical point; solving the problem 9-5-1-An-C-open-box-set-up-jms.pg,9-5-2-Ap-C-cylinder-cost-jms.pg; numeric; given cost function and fixed volume of a cylindrical container; find radius of the cylinder that minimizes the cost function
