CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
9-5-3-An-C,9-5-3,An,C,4,interpret the results of optimization proceedures into an answer to a given optimization problem,,,,,,
9-1-2-U-C,9-1-2,U,C,2,identify a local maxumum/minimum given the graph of the derivative of a function,,,9-1-2-U-C-pw-der-ext-1-jms.pg; dropdown; piecewise graph given with three critical points; choose local max/min/neither for each point and include justification about the funciton increasing/decreasing to the left/right of the critical point on specific intervals; uses code from 8-1-3-U-C-pw-der-inc-dec-2-jms.pg,"9-1-2-U-C-pw-der-ext-2-no-int-jms.pg; dropdown; same critical points, etc. as 9-1-2-U-C-pw-der-ext-1-jms.pg; however, does not ask for increasing/decrasing justification; instead asks students to identify that the three points are all critical points (since they are looking at the graph of the derivative)",,
9-3-3-U-I,9-3-3,U,I,2,identify a global maximum/minimum given the graph of the original function,,,9-3-3-U-C-pw-glob-ext-1-jms.pg; dropdown; piecewise linear function on closed interval; choose global max or global min / neither for random subset of one endpoint and two interior singular points,,,
9-5-4-E-I,9-5-4,E,I,4,communicate an approach to solving an optimization problem and the results of the process to an appropriate audience,,,,,,
9-2-2-R-I,9-2-2,R,I,1,state the definition of a singular point,,,9-2-1-R-C-crit-sing-def-jms.pg; identify difference between critical and singular points from their definitions; uses local maximum and local minimum as distractors,,,
9-2-3-U-I,9-2-3,U,I,2,recognize that local extrema occur at critical/singular points but that not all critical/singular points are local extrema,"The problems first two problems for 9-1-2-U-C touch on this outcome (for critical points), depending on the randomization...",,9-2-3-U-I-crit-sing-tf-jms.pg; dropdown; true or false; two statements about the relationship between critical/singular points and local extrema; both are false,"9-2-3-U-I-fermat-evt-jms.pg; dropdown; if you have a local max, then crit or sing; if you have global max on closed interval, then crit/sing/endpoint.",,
10-0-0-I,10-0-0,,I,,"state the Mean Value Theorem, interpret the statement of the theorem in terms of ""rates of change"" and ""slope"", and solve problems using the MVT","High-level outcome (for course outline); short name: #10-0-0-I; MVT; WeBWork Quiz for 10-0-0-I will consist of one problem from 10-0-2-U-C, two problems from 10-1-1-Ap-C (one upper/lower and one big/small), one problem from 10-1-2-Ap-C, and one problem from 10-0-1-R-I",,No. of 10-0-0-C problems  --- >>>,13,,
10-2-0-E-A,10-2-0,E,A,4,"use the Mean Value Theorem, and Intermediate Value Theorem, to make conclusions about the existence/number of roots of a differentiable function","""Show there is exactly one real root ---""",,,,,
10-0-2-U-C,10-0-2,U,C,2,"interpret the statement of the Mean Value Theorem in terms of ""rates of change"" and ""slope""",,,10-0-2-U-C-mvt-meaning-1-jms.pg; numeric and drop down; calculate average rate of change and indicate that instantaneous rate of change must euqal this also with quantifier; uses context of reaction rate from 6-1-0-U-C-reaction-dd-jms.pg,10-0-2-U-C-mvt-meaning-2-jms.pg;  drop down and numeric; indicate that information provided allows computation of average velocity; indicate that mean value theorem is a statement about the instantaneous velocity; use similar context to 6-1-0-U-C-vel-acc-dd-jms.pg,"10-0-2-U-C-mvt-meaning-3-jms.pg; numeric and drop down; given points find function values, slope of secant line, and interpret mean value theorem.","10-0-2-U-C-mvt-meaning-4-jms.pg; numeric and drop down; given point, slope of secant line, and second x-value; find funciton values, equation of secant line, indicate interval on wich MVT applies and indidicate parallell lines have equal slopes"
10-1-1-Ap-C,10-1-1,Ap,C,3,use the Mean Value Theorem to find upper/lower limits for values of a function given upper/lower limits on the derivative,,,10-1-1-Ap-C-mvt-upper-lower-1-jms.pg; dropdown and numeric; choose that MVT applies; given upper and lower bounds on f'(x) find upper and lower bounds for f(a),10-1-1-Ap-C-mvt-upper-lower-2-jms.pg; dropdown and numeric; choose that MVT applies; given upper and lower bounds on f'(x) find upper and lower bounds for f(b),10-1-1-Ap-C-mvt-big-small-1-jms.pg; numeric; given value of f(b) and upper/lower limits on f'(x) find the largest/smallest value of f(a) (versioned on biggest/smallest); ask for funciton that achieves this value,10-1-1-Ap-C-mvt-big-small-2-jms.pg; numeric; given value of f(a) and upper/lower limits on f'(x) find the largest/smallest value of f(a) (versioned on biggest/smallest); ask for funtion that achieves this value
10-1-2-Ap-C,10-1-2,Ap,C,3,use the Mean Value Theorem to solve practical problems about rates of change,Need unit conversions to solve this problem; then students compare a computed average to a given limit/record to determin if MVT can help give a conclusion,,"10-1-2-Ap-C-mvt-speeding-tickets-jms.pg; find average velocity for a car trip, compare to a speed limit and attempt to use the MVT to determine if they were speeding or not. Sometimes no determination can be made since average speed is lower than the posted limit.",10-1-2-Ap-C-mvt-solar-jms.pg;  find average velocity for a test vehicle compare to a record speed and attempt to use the MVT to determine if the record was broke. Sometimes no determination can be made since average speed is lower than the record.,"10-1-2-Ap-C-mvt-sound-jms.pg; same idea as other problems, but requires coverting kilometers/minute to metres/second as well",
10-0-1-R-I,10-0-1,R,I,1,precisely state the Mean Value Theorem,,,10-0-1-R-I-state-mvt-jms.pg; dropdown and numeric; complete statement of MVT for a specific interval and an unknown function,10-0-1-R-I-state-mvt-spec-jms.pg; dropdown and numeric; complete specific statement of MVT for a polynomial function,,
11-0-0-C,11-0-0,,C,,"state the definition of an antiderivative of a function, explain the relationship between antiderivatives, and compute antiderivatives of common functions",High-level outcome (for course outline); short name: #11-0-0-C; antiderivatives,,No. of 11-0-0-C problems --- >>>,21,,
11-2-4-E-A,11-2-4,E,A,4,justify that two antiderivatives differ by a constant by using the Mean Value Theorem,,,,,,
11-1-1-An-C,11-1-1,An,C,4,determine if a given function is an antiderivative of another,multiselect questions here also cover 11-2-1-R-C,,11-1-1-An-C-anti-der-ms-1-jms.pg; multiselect; find all antiderivatives of x^3 + sin(x) + b,11-1-1-An-C-anti-der-ms-2-jms.pg; multiselect; find all antiderivatives of 1/sqrt(x) and cos(x),11-1-1-An-C-anti-mc-1-jms.pg; multiple choice; find antiderivative with e^x and 1/x,
11-1-0-R-C,11-1-0,R,C,1,state the definition of the antiderivative of a function,,,11-1-0-R-C-anti-der-defn-jms.pg; dropdown; given equation f'(x) = g state relationship between two functions; two different orders randomized,,,
11-1-2-Ap-C,11-1-2,Ap,C,3,"compute the antiderivative of a given function (polynomial, exp, trigonometric)",Without requiring substitution,,"11-1-2-Ap-C-fcn-anti-der-1-jms.pg; function; power of x, e^(-x), cos(x)","11-1-2-Ap-C-fcn-anti-der-2-jms.pg; function; x^2 or x^3, 1/x, sin(x)",11-1-2-Ap-C-fcn-anti-der-3-jms.pg; function; sqrt(x) and sec^2(x),
11-2-1-R-C,11-2-1,R,C,1,recognize that two antiderivatives only differ by a constant,11-1-1-An-C ms problems also include this aspect,,11-2-1-R-C-two-anti-der-1-jms.pg; dropdown; given two abstract antiderivatives indicate what F-G and F'-G' are equal to; random order of bullets,,,
11-2-2-U-C,11-2-2,U,C,2,"explain what the fact that ""two antiderivatives differ by a constant"" means graphically",,,11-2-2-U-C-two-anti-der-gph-jms.pg; dropdown; given two different antiderivatives'; indicate that they will have the same slope for each x but different y-intercpepts,,,
11-2-3-U-C,11-2-3,U,C,2,"explain what the fact that ""two antiderivatives differ by a constant"" means algebraically",,,11-2-3-U-C-two-anti-der-mc-jms.pg; multiple choice; choose best statement (with quantifiers) that reprsens what it menas for two antiderivatives to differ by a constant,,,
11-4-1-An-C,11-4-1,An,C,4,recognize when a practical problem requires a derivative or an antiderivative to be solved,Covered by 3-6-0-Ap-I above (two problems),,,,,
