Date,Seattle
3/31/2008,813
6/30/2008,958
9/30/2008,769
12/31/2008,577
3/31/2009,532
6/30/2009,967
9/30/2009,834
12/31/2009,781
3/31/2010,853
6/30/2010,919
9/30/2010,620
12/31/2010,703
3/31/2011,783
6/30/2011,924
9/30/2011,715
12/31/2011,643
3/31/2012,709
6/30/2012,990
9/30/2012,799
12/31/2012,776
3/31/2013,889
6/30/2013,1102
9/30/2013,931
12/31/2013,1045
